name	RunNr	Day1	Month1	Year1	Rain	ETo	GD	CO2	Irri	Infilt	Runoff	Drain	Upflow	E	E/Ex	Tr	TrW	Tr/Trx	SaltIn	SaltOut	SaltUp	SaltProf	Cycle	SaltStr	FertStr	WeedStr	TempStr	ExpStr	StoStr	BioMass	Brelative	HI	Yield	WPet	DayN	MonthN	YearN	prm.file	climate.model	location	rcp	crop	irrigation	soil
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(80)	15	5	2096	1382.5	307.2	1565.4	899	29.6	1382.5	0	1177.3	0	157.1	84	84.5	84.5	100	0	0	0	0	110	0	0	0	5	0	0	18.1	99	30	5.43	2.27	8	9	2096	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(81)	15	5	2097	1605.5	253.2	1565	908	1.1	1605.5	0	1396.5	0	129.8	97	79.4	79.4	100	0	0	0	0	113	0	0	0	6	0	-0	18.291	99	30	5.487	2.65	10	9	2097	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(82)	15	5	2098	1506.4	250.4	1564	917	12.4	1506.4	0	1288.7	0	131.5	94	78.9	78.9	100	0	0	0	0	111	0	0	0	6	0	0	18.179	99	30	5.454	2.6	9	9	2098	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(83)	15	5	2099	2115.5	266.4	1566.9	927	0	2115.5	0	1890.8	0	133.8	99	88.2	88.2	100	0	0	0	0	112	0	0	0	6	0	0	17.941	99	30	5.382	2.45	9	9	2099	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_sandyloamPRMseason.OUT	Tot(1)	15	5	2017	1872	369.4	1560.2	407	0	1872	0	1588.6	0	186.9	95	102.6	102.6	100	0	0	0	0	146	0	0	0	23	0	0	18.498	99	30	5.549	1.93	15	10	2017	1206_RCP85_net_15May_sandyloam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	SandyLoam
1206_RCP85_net_15May_sandyloamPRMseason.OUT	Tot(2)	15	5	2018	1552.8	348.5	1558	410	33.9	1552.8	0	1317.5	0	167.7	86	102.1	102.1	100	0	0	0	0	138	0	0	0	19	0	0	18.551	100	30	5.565	2.08	6	10	2018	1206_RCP85_net_15May_sandyloam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	SandyLoam
1206_RCP85_net_15May_sandyloamPRMseason.OUT	Tot(3)	15	5	2019	1664.9	372.4	1564.3	413	56.3	1664.9	0	1404.8	0	203.6	87	111.9	111.9	100	0	0	0	0	129	0	0	0	14	0	0	18.27	99	30	5.481	1.74	27	9	2019	1206_RCP85_net_15May_sandyloam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	SandyLoam
1206_RCP85_net_15May_sandyloamPRMseason.OUT	Tot(4)	15	5	2020	1555.7	349.7	1562	416	42.1	1555.7	0	1322.8	0	179.6	87	92.1	92.1	100	0	0	0	0	141	0	0	0	21	0	0	18.592	99	30	5.577	2.07	9	10	2020	1206_RCP85_net_15May_sandyloam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	SandyLoam
1206_RCP85_net_15May_sandyloamPRMseason.OUT	Tot(5)	15	5	2021	1654.4	391.6	1559.2	419	45.9	1654.4	0	1432.3	0	189.8	84	97.7	97.7	100	0	0	0	0	145	0	0	0	23	0	0	18.631	99	30	5.589	1.96	14	10	2021	1206_RCP85_net_15May_sandyloam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	SandyLoam
1206_RCP85_net_15May_sandyloamPRMseason.OUT	Tot(6)	15	5	2022	1205.3	402.9	1557.6	422	149.8	1205.3	0	1033.9	0	196.2	74	122.5	122.5	100	0	0	0	0	124	0	0	0	13	0	0	17.904	99	30	5.371	1.69	22	9	2022	1206_RCP85_net_15May_sandyloam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	SandyLoam
